State,District,Latitude,Longitude,District code,Population,sex_ratio,literacy_rate,Hindu_pct,Muslims_pct,Christians_pct,Male_literacy_rate,Female_literacy_rate,Male_pct,Female_pct,Internet_pct,Electricity_pct,Gender_literacy_gap,Workers_pct,Non_workers_pct,Urban_pct,Rural_pct
Bihar,Aurangabad,24.774291867469877,84.45986024096379,235,2540073,92.62,57.71,90.2,9.34,0.09,65.88,48.9,51.92,48.08,0.49,9.31,16.98,32.98,67.02,10.27,89.73
Bihar,Aurangabad,24.774291867469877,84.45986024096379,515,3701282,92.33,67.65,68.77,21.25,0.43,74.35,60.38,51.99,48.01,2.38,60.2,13.97,42.55,57.45,43.65,56.35
Bihar,Banka,24.832355642023337,86.8664916342413,225,2034763,90.67,47.44,87.12,12.33,0.3,55.38,38.69,52.45,47.55,0.38,14.04,16.69,37.9,62.1,4.16,95.84
Bihar,Begusarai,25.54302613168723,86.12560144032932,222,2970541,89.49,52.13,85.99,13.71,0.07,58.59,44.92,52.77,47.23,0.63,16.41,13.67,31.58,68.42,18.98,81.02
Bihar,Bhagalpur,25.277192885375477,87.04213814229242,224,3037766,88.02,51.78,81.9,17.68,0.12,58.04,44.68,53.19,46.81,1.04,26.72,13.36,32.38,67.62,20.0,80.0
Bihar,Bhojpur,25.50666439393939,84.49407803030304,231,2728407,90.75,58.61,92.3,7.25,0.08,68.06,48.2,52.43,47.57,0.72,12.14,19.86,30.15,69.85,15.11,84.89
Bihar,Buxar,25.48593018867924,84.08808081760995,232,1706352,92.16,58.01,93.27,6.18,0.12,66.84,48.42,52.04,47.96,0.53,13.97,18.42,31.55,68.45,10.58,89.42
Bihar,Darbhanga,26.146187719298258,85.97387352472099,215,3937385,91.14,46.14,77.28,22.39,0.09,54.64,36.81,52.32,47.68,0.63,12.71,17.83,31.08,68.92,9.53,90.47
Bihar,Gaya,24.7266541547278,84.94291217765044,236,4391418,93.75,52.32,88.27,11.12,0.09,60.39,43.71,51.61,48.39,0.85,13.95,16.68,37.89,62.11,13.78,86.22
Bihar,Gopalganj,26.44874364161851,84.34636127167629,217,2562012,102.1,53.98,82.72,17.02,0.1,62.63,45.51,49.48,50.52,0.67,12.52,17.12,28.42,71.58,6.88,93.12
Bihar,Jamui,24.78418380462726,86.26316298200514,238,1760405,92.17,48.77,86.67,12.36,0.48,58.33,38.4,52.04,47.96,0.52,9.15,19.93,41.33,58.67,8.65,91.35
Bihar,Jehanabad,25.155679045643165,84.9208124481328,239,1125313,92.17,55.0,92.87,6.73,0.06,63.94,45.29,52.04,47.96,0.51,12.87,18.65,32.47,67.53,13.1,86.9
Bihar,Katihar,25.56565356037151,87.70466083591326,212,3071029,91.89,41.69,54.85,44.47,0.28,47.63,35.22,52.11,47.89,0.4,8.25,12.41,33.0,67.0,9.46,90.53999999999999
Bihar,Khagaria,25.53558891454964,86.56593256351037,223,1666886,88.61,46.08,89.21,10.53,0.08,52.18,39.19,53.02,46.98,0.4,10.3,12.99,33.64,66.36,5.32,94.68
Bihar,Kishanganj,26.324336758321294,87.95045007235886,210,1690400,94.98,44.08,31.43,67.98,0.34,50.74,37.06,51.29,48.71,0.25,13.19,13.68,31.3,68.7,9.74,90.26
Bihar,Lakhisarai,25.183449321266963,86.12825701357468,227,1000912,90.16,50.68,95.55,4.08,0.05,57.98,42.58,52.59,47.41,0.57,21.43,15.4,32.63,67.37,15.3,84.7
Bihar,Madhepura,25.77341929460581,86.8978443983403,213,2001762,91.09,41.69,87.61,12.08,0.07,49.42,33.21,52.33,47.67,0.27,4.55,16.21,38.84,61.16,4.7,95.3
Bihar,Madhubani,26.41380538172716,86.16328360450552,207,4487379,92.65,48.03,81.39,18.25,0.07,57.53,37.78,51.91,48.09,0.49,10.4,19.75,36.48,63.52,3.79,96.21
Bihar,Munger,25.198537962962963,86.54173672839504,226,1367765,87.61,58.62,91.56,8.07,0.13,64.98,51.36,53.3,46.7,0.86,29.36,13.62,31.19,68.81,27.85,72.15
Bihar,Muzaffarpur,26.18664417177915,85.32745092024543,216,4801062,89.95,52.26,84.0,15.53,0.11,58.84,44.96,52.64,47.36,0.92,16.14,13.88,32.23,67.77,10.78,89.22
Bihar,Nalanda,25.229345508982053,85.48053113772461,229,2877653,92.22,52.82,92.78,6.88,0.07,61.42,43.49,52.02,47.98,0.67,16.44,17.93,36.33,63.67,16.63,83.37
Bihar,Nawada,24.825708836206903,85.61594568965519,237,2219146,93.87,49.16,88.53,11.01,0.06,57.61,40.16,51.58,48.42,0.43,7.33,17.45,36.82,63.18,10.67,89.33
Bihar,Pashchim Champaran,27.16064352201258,84.30265911949685,203,3935042,90.92,44.71,77.44,21.98,0.22,52.94,35.66,52.38,47.62,0.37,6.15,17.28,37.58,62.42,10.32,89.68
Bihar,Patna,25.40297114503818,85.3198433587787,230,5838465,89.65,59.26,91.74,7.54,0.21,65.88,51.87,52.73,47.27,3.36,45.19,14.01,32.23,67.77,45.62,54.38
Bihar,Purba Champaran,26.68129336734693,85.00382155612242,204,5099371,90.19,44.65,80.14,19.42,0.1,52.5,35.95,52.58,47.42,0.62,6.03,16.55,34.07,65.93,8.17,91.83
Bihar,Purnia,25.81714801901739,87.40447606973065,211,3264619,92.11,40.81,60.94,38.46,0.24,47.39,33.67,52.05,47.95,0.52,10.78,13.72,35.02,64.98,10.74,89.26
Bihar,Rohtas,24.99170460829495,83.9350762672811,234,2959918,91.76,60.81,89.37,10.15,0.1,68.79,52.11,52.15,47.85,0.76,18.89,16.68,31.25,68.75,15.73,84.27
Bihar,Saharsa,25.821270696721303,86.54670819672135,214,1900661,90.6,42.35,85.72,14.03,0.07,50.78,33.05,52.46,47.54,0.35,8.78,17.73,34.19,65.81,8.08,91.92
Bihar,Samastipur,25.793205563909765,85.94833323308269,221,4261566,91.1,50.28,89.18,10.62,0.05,58.01,41.81,52.33,47.67,0.51,8.33,16.2,31.52,68.48,4.12,95.88
Bihar,Saran,25.89656077844312,84.82266287425155,219,3951862,95.36,54.59,89.45,10.28,0.06,63.56,45.19,51.19,48.81,0.58,12.19,18.37,26.32,73.68,9.81,90.19
Bihar,Sheikhpura,25.12472436548223,85.77839390862943,228,636342,92.98,51.65,93.68,5.92,0.05,59.57,43.13,51.82,48.18,0.48,15.13,16.44,35.3,64.7,18.35,81.65
Bihar,Sheohar,26.458380748663107,85.29539411764709,205,656246,89.3,43.23,84.19,15.14,0.08,49.51,36.2,52.83,47.17,0.29,6.03,13.31,32.97,67.03,4.53,95.47
Bihar,Sitamarhi,26.56570069686413,85.61172491289203,206,3423574,89.86,41.97,78.06,21.62,0.08,49.09,34.04,52.67,47.33,0.4,7.73,15.05,32.56,67.44,5.8,94.2
Bihar,Siwan,26.1736372013652,84.33766552901022,218,3330464,98.82,57.96,81.45,18.26,0.08,66.62,49.19,50.3,49.7,0.57,7.85,17.43,28.0,72.0,6.21,93.79
Bihar,Supaul,26.28157893772896,86.78496465201461,208,2229076,92.95,46.35,81.2,18.36,0.17,56.06,35.91,51.83,48.17,0.31,8.5,20.15,39.37,60.63,4.64,95.36
Bihar,Vaishali,25.8134703180212,85.39247597173153,220,3495021,89.48,55.13,90.2,9.56,0.06,62.49,46.91,52.78,47.22,0.64,9.32,15.58,30.34,69.66,6.86,93.14
Chandigarh,Chandigarh,30.7426,76.75872465753424,55,1055450,81.77,76.31,80.78,4.87,0.83,80.14,71.63,55.02,44.98,14.84,77.49,8.51,38.29,61.71,97.01,2.989999999999995
Chhattisgarh,Bastar,19.393866751269048,81.52895126903546,414,1413199,102.32,46.06,90.43,0.88,1.98,54.74,37.57,49.43,50.57,0.48,42.46,17.17,51.41,48.59,14.78,85.22
Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,30,381956,98.15,75.3,97.39,1.83,0.06,80.72,69.78,50.47,49.53,0.96,48.13,10.94,53.9,46.1,7.29,92.71
